facility_id,facility_name,full_address,postal_code,latitude,longitude,PLN_AREA_N
54,NTUC Health Day Centre for Seniors @ Pasir Ris Central,112 Pasir Ris Street 11 #01-657 Singapore 510112,510112,1.36770577441558,103.955796373988,PASIR RIS
55,NTUC Health Day Centre for Seniors @ Pasir Ris,12 Pasir Ris Walk NTUC Health Nursing Home (Pasir Ris) #01-01 Singapore 518063,518063,1.36996093238292,103.964336919348,PASIR RIS
56,NTUC Health Day Centre for Seniors @ Punggol South,571 Hougang Street 51 #01-119 Singapore 530571,530571,1.37843343810997,103.888023147529,HOUGANG
57,NTUC Health Day Centre for Seniors @ Radin Mas,51 Telok Blangah Crescent Radin Mas Community Club #03-01 Singapore 098917,098917,1.27580647025274,103.819844388996,BUKIT MERAH
58,NTUC Health Day Centre for Seniors @ Serangoon Central,264 Serangoon Central Braddell Heights Community Hub #01-207 Singapore 550264,550264,1.35227408330171,103.872103199544,SERANGOON
59,NTUC Health Day Centre for Seniors @ Taman Jurong,349 Corporation Drive #01-502 Singapore 610349,610349,1.33953419646662,103.719166865639,JURONG WEST
60,NTUC Health Day Centre for Seniors @ Toa Payoh,169 Toa Payoh Lorong 1 #01-1052 Singapore 310169,310169,1.33172599846081,103.842799470193,TOA PAYOH
61,New Horizon Centre @ Bukit Batok,511 Bukit Batok Street 52 #01-211 Singapore 650511,650511,1.35272298040763,103.753796440794,BUKIT BATOK
62,New Horizon Centre @ Jurong Point,1 Jurong West Central 2 Jurong Point Shopping Centre #04-04 Singapore 648886,648886,1.3394520043632,103.706685012926,JURONG WEST
63,New Horizon Centre @ Tampines,362 Tampines Street 34 #01-377 Singapore 520362,520362,1.35625122843632,103.961576641177,TAMPINES
64,New Horizon Centre @ Toa Payoh,157 Lor 1 Toa Payoh #01-1195 Singapore 310157,310157,1.33220626321248,103.845452861739,TOA PAYOH
65,Orange Valley Active Ageing Centre (Care) @ Alkaff Crescent,115C Alkaff Crescent #03-01 Singapore 343115,343115,1.33722847497236,103.872886634076,TOA PAYOH
66,Peacehaven Changi Day Centre,7 Upper Changi Road North Singapore 507705,507705,1.35335604808437,103.965152777265,PASIR RIS
67,REACH Senior Care Centre @ Senja Valley,645 Senja Close #01-01 Singapore 670645,670645,1.38876678784691,103.763383747539,BUKIT PANJANG
68,Ren Ci AAC (Care) @ Bukit Batok St 52,31 Bukit Batok Street 52 Renci @ Bukit Batok Street 52 Singapore 659251,659251,1.35499119318065,103.75155979178,BUKIT BATOK
69,Ren Ci Community Hospital,71 Irrawaddy Road Singapore 329562,329562,1.3228845004622,103.845973302636,NOVENA
70,Ren Ci Senior Care Centre @ Ang Mo Kio,10 Ang Mo Kio Avenue 8 Singapore 567727,567727,1.36082826387545,103.853272623391,ANG MO KIO
71,Ren Ci Senior Care Centre @ Bukit Batok St 52,31 Bukit Batok Street 52 Singapore 659251,659251,1.35499119318065,103.75155979178,BUKIT BATOK
72,Ren Ci Senior Care Centre @ Woodlands,17 Woodlands Drive 17 Woodlands Health Campus Tower E Singapore 737628,737628,1.42468138298223,103.794743820819,WOODLANDS
73,SASCO @ Telok Blangah,30 Telok Blangah Rise #01-316 Singapore 090030,090030,1.27298528304053,103.820252009798,BUKIT MERAH
74,SASCO Hong Kah North Day Care Centre,337 Bukit Batok Street 34 #01-06 Singapore 650337,650337,1.36348296381773,103.749393361059,BUKIT BATOK
75,SASCO @ Jurong West,715 Jurong West Street 71 #01-47 Singapore 640715,640715,1.34374461019775,103.696418783167,JURONG WEST
